title,tags,perks,country,location,company,posted,moeda_original,salary_min,salary_max,salary_mean
Salesforce CRM Developer,"salesforce, apex, sql, javascript, html",,"Nova York, EUA",New York,BTIG,2018-11-14 20:42:49.138671,-,0,0,0.0
Cybersecurity & Technology Controls - Automation Software Engineer,"java, python, sql",,"Delaware, EUA",Wilmington,JP Morgan Chase,2018-11-14 20:42:49.138671,-,0,0,0.0
Software Engineer (Multi platform - Java/. Net),"java, c#, .net, artificial-intelligence, chatbot",,Australia,Melbourne,Telstra,2018-11-14 20:42:49.138671,A$,16,25,20.5
"Senior Modeling Scientist, Audience Platform","machine-learning, java, c++, mapreduce, python","Visa sponsor, Paid relocation","Washington, EUA",Bellevue,Quantcast,2018-11-14 20:42:49.154295,-,0,0,0.0
DevOps Engineer / Team Lead,"amazon-web-services, elastic-beanstalk, sysadmin, continuous-integration, continuous-testing",,Reino Unido,Glasgow,Betsold Limited,2018-11-14 19:42:49.154295,£,16,25,20.5
Software Engineer (.Net / JavaScript),"react, javascript, saas",,"Georgia, EUA",Atlanta,AchieveIt,2018-11-14 19:42:49.154295,$,25,40,32.5
Senior .NET Software Engineer,".net, core, microservices, c#","Remote, Paid relocation","Tennessee, EUA",Nashville,SmileDirectClub,2018-11-14 19:42:49.154295,-,0,0,0.0
"Siri - Software Engineer, Domains","java, web-services, design",,"Califórnia, EUA",Cupertino,Apple Inc.,2018-11-14 19:42:49.154295,-,0,0,0.0
"Engineering Project Manager, Health Technologies",project,,"Califórnia, EUA",Cupertino,Apple Inc.,2018-11-14 19:42:49.154295,-,0,0,0.0
"Software Engineer, Back-end, Mobile Services","rest, apis",,Suécia,Gothenburg,Volvo Car Corporation(Prd),2018-11-14 19:42:49.154295,-,0,0,0.0
JavaScript Engineer (NodeJS),"node.js, javascript, amazon-web-services, docker",,"Nova York, EUA",Brooklyn,The Farmer's Dog,2018-11-14 19:42:49.154295,$,31,48,39.5
"Software Engineer - Java, FICO Blaze","java, python, sql",,"Delaware, EUA",Wilmington,JP Morgan Chase,2018-11-14 19:42:49.154295,-,0,0,0.0
Full-Stack Software Engineer,"python, python-3.x, javascript, typescript, angular",,"Nova York, EUA",New York,Perch,2018-11-14 19:42:49.154295,-,0,0,0.0
Sr. Software Engineer - Java Backend,"azure, amazon-web-services, java-ee, spring, rest",,"Califórnia, EUA",Mountain View,HyTrust,2018-11-14 19:42:49.154295,-,0,0,0.0
Senior QA Analyst (FitMetrix by MINDBODY),"qa, testing, automation, oop, sql",Paid relocation,"Georgia, EUA",Atlanta,MINDBODY Inc.,2018-11-14 19:42:49.169918,$,26,29,27.5
